상권_ID,역명,지역,가성비_지수,클러스터
13,"가야, 부암, 부전, 서면, 전포",부산,198,2
37,"남포, 자갈치, 중앙, 토성",부산,180,2
19,경성대·부경대,부산,150,2
28,"국제금융센터·부산은행, 문현, 범내골, 범일, 지게골",부산,134,2
66,"부산, 초량",부산,132,2
65,"벡스코, 센텀시티",부산,128,2
36,남천,부산,125,2
89,장산,부산,107,1
84,온천장,부산,103,1
23,"괘법르네시떼, 사상",부산,100,1
67,부산대,부산,100,1
95,해운대,부산,99,1
47,"덕천, 숙등",부산,94,1
70,사직,부산,93,1
92,주례,부산,89,1
90,장전,부산,89,1
58,명륜,부산,89,1
49,"동대신, 서대신",부산,89,1
42,"당리, 하단",부산,88,1
18,"거제해맞이, 시청",부산,87,1
16,"개금, 냉정",부산,86,1
81,양정,부산,85,1
22,광안,부산,84,1
27,구서,부산,82,1
57,"망미, 민락, 수영",부산,82,1
44,"대연, 못골",부산,79,1
10,장신대,경남,79,1
51,동백,부산,71,1
93,중동,부산,69,1
88,장림,부산,67,3
2,"김해시청, 부원",경남,66,3
7,양산,경남,63,3
74,센텀,부산,62,3
30,금련산,부산,59,3
60,물만골,부산,59,3
96,화명,부산,58,3
33,"낙민, 동래, 명장, 수안, 안락, 충렬사",부산,57,3
32,기장,부산,57,3
24,"괴정, 대티",부산,57,3
56,만덕,부산,57,3
17,"거제, 연산, 종합운동장",부산,56,3
0,가야대,경남,56,3
91,재송,부산,56,3
61,미남,부산,54,3
11,증산,경남,54,3
4,박물관,경남,53,3
69,부산진,부산,53,3
41,다대포해수욕장,부산,53,3
76,수정,부산,48,3
78,신평,부산,47,3
68,부산원동,부산,46,3
59,모라,부산,45,3
54,두실,부산,42,3
21,공항,부산,41,3
3,남양산,경남,40,3
25,교대,부산,40,3
46,덕두,부산,38,3
48,"덕포, 모덕",부산,38,3
71,사하,부산,37,3
8,연지공원,경남,35,3
50,동매,부산,35,3
86,율리,부산,34,3
64,범어사,부산,33,3
53,동의대,부산,33,3
77,신장림,부산,33,3
14,감전,부산,28,0
38,낫개,부산,28,0
29,금곡,부산,28,0
15,강서구청,부산,27,0
26,"구남, 구명, 구포",부산,27,0
5,"봉황, 수로왕릉",경남,27,0
87,일광,부산,24,0
94,평강,부산,20,0
79,신해운대,부산,20,0
72,서부산유통지구,부산,20,0
35,남산정,부산,20,0
98,남창,울산,19,0
34,남산,부산,19,0
9,인제대,경남,18,0
82,"영산대, 좌천",부산,18,0
40,다대포항,부산,17,0
83,오시리아,부산,12,0
102,태화강,울산,11,0
31,"금사, 서동",부산,11,0
85,월내,부산,10,0
63,배산,부산,10,0
6,부산대양산캠퍼스,경남,8,0
80,안평,부산,8,0
20,"고촌, 윗반송",부산,8,0
1,"김해대학, 불암, 지내",경남,8,0
99,덕하,울산,8,0
45,"대저, 체육공원",부산,8,0
39,노포,부산,4,0
62,반여농산물시장,부산,1,0
12,호포,경남,0,0
55,등구,부산,0,0
52,동원,부산,0,0
43,대사,부산,0,0
75,송정,부산,0,0
73,석대,부산,0,0
97,개운포,울산,0,0
100,망양,울산,0,0
101,서생,울산,0,0
