상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
13,"가야, 부암, 부전, 서면, 전포",부산,154,199,3
37,"남포, 자갈치, 중앙, 토성",부산,105,184,3
65,"벡스코, 센텀시티",부산,101,131,3
19,경성대·부경대,부산,70,153,1
28,"국제금융센터·부산은행, 문현, 범내골, 범일, 지게골",부산,76,137,1
66,"부산, 초량",부산,71,133,1
95,해운대,부산,80,100,1
84,온천장,부산,70,105,1
89,장산,부산,64,109,1
23,"괘법르네시떼, 사상",부산,68,101,1
36,남천,부산,38,128,1
42,"당리, 하단",부산,60,91,1
70,사직,부산,54,95,1
67,부산대,부산,47,101,1
47,"덕천, 숙등",부산,50,95,1
51,동백,부산,62,73,1
49,"동대신, 서대신",부산,42,91,1
92,주례,부산,38,91,1
18,"거제해맞이, 시청",부산,35,90,1
27,구서,부산,41,84,1
10,장신대,경남,44,80,1
58,명륜,부산,32,91,1
7,양산,경남,51,65,1
22,광안,부산,27,86,2
90,장전,부산,21,91,2
74,센텀,부산,49,63,1
44,"대연, 못골",부산,31,80,2
81,양정,부산,24,86,2
16,"개금, 냉정",부산,20,88,2
93,중동,부산,38,70,2
57,"망미, 민락, 수영",부산,19,84,2
88,장림,부산,29,68,2
24,"괴정, 대티",부산,28,60,2
96,화명,부산,28,59,2
56,만덕,부산,29,57,2
17,"거제, 연산, 종합운동장",부산,27,57,2
61,미남,부산,25,56,2
30,금련산,부산,21,60,2
4,박물관,경남,26,54,2
2,"김해시청, 부원",경남,12,67,2
11,증산,경남,24,55,2
60,물만골,부산,15,60,2
25,교대,부산,31,42,2
91,재송,부산,14,58,2
69,부산진,부산,15,55,2
41,다대포해수욕장,부산,16,54,2
33,"낙민, 동래, 명장, 수안, 안락, 충렬사",부산,9,59,2
32,기장,부산,9,59,2
0,가야대,경남,10,57,2
21,공항,부산,23,41,2
76,수정,부산,13,49,2
3,남양산,경남,17,42,2
53,동의대,부산,24,34,2
78,신평,부산,8,49,2
59,모라,부산,10,47,2
46,덕두,부산,17,39,2
5,"봉황, 수로왕릉",경남,26,28,2
68,부산원동,부산,5,48,2
54,두실,부산,6,44,2
8,연지공원,경남,13,36,0
48,"덕포, 모덕",부산,4,39,0
102,태화강,울산,31,11,0
71,사하,부산,4,38,0
29,금곡,부산,13,29,0
50,동매,부산,4,37,0
38,낫개,부산,12,29,0
26,"구남, 구명, 구포",부산,13,27,0
86,율리,부산,5,35,0
79,신해운대,부산,19,21,0
64,범어사,부산,5,34,0
77,신장림,부산,5,34,0
15,강서구청,부산,9,28,0
9,인제대,경남,18,18,0
83,오시리아,부산,20,12,0
14,감전,부산,3,29,0
34,남산,부산,11,20,0
40,다대포항,부산,11,19,0
87,일광,부산,4,25,0
35,남산정,부산,2,20,0
72,서부산유통지구,부산,2,20,0
94,평강,부산,2,20,0
98,남창,울산,2,19,0
82,"영산대, 좌천",부산,2,19,0
31,"금사, 서동",부산,10,11,0
39,노포,부산,10,4,0
85,월내,부산,1,10,0
63,배산,부산,1,10,0
45,"대저, 체육공원",부산,1,9,0
20,"고촌, 윗반송",부산,1,9,0
1,"김해대학, 불암, 지내",경남,1,9,0
6,부산대양산캠퍼스,경남,1,9,0
80,안평,부산,1,9,0
99,덕하,울산,1,9,0
52,동원,부산,10,0,0
62,반여농산물시장,부산,8,1,0
12,호포,경남,0,0,0
43,대사,부산,0,0,0
55,등구,부산,0,0,0
75,송정,부산,0,0,0
73,석대,부산,0,0,0
97,개운포,울산,0,0,0
100,망양,울산,0,0,0
101,서생,울산,0,0,0
