상권_ID,역명,지역,프리미엄_지수,클러스터
13,"가야, 부암, 부전, 서면, 전포",부산,154,3
37,"남포, 자갈치, 중앙, 토성",부산,105,3
65,"벡스코, 센텀시티",부산,101,3
95,해운대,부산,80,1
28,"국제금융센터·부산은행, 문현, 범내골, 범일, 지게골",부산,76,1
66,"부산, 초량",부산,71,1
19,경성대·부경대,부산,70,1
84,온천장,부산,70,1
23,"괘법르네시떼, 사상",부산,68,1
89,장산,부산,64,1
51,동백,부산,62,1
42,"당리, 하단",부산,60,1
70,사직,부산,54,1
7,양산,경남,51,1
47,"덕천, 숙등",부산,50,1
74,센텀,부산,49,1
67,부산대,부산,47,1
10,장신대,경남,44,0
49,"동대신, 서대신",부산,42,0
27,구서,부산,41,0
36,남천,부산,38,0
92,주례,부산,38,0
93,중동,부산,38,0
18,"거제해맞이, 시청",부산,35,0
58,명륜,부산,32,0
44,"대연, 못골",부산,31,0
25,교대,부산,31,0
102,태화강,울산,31,0
88,장림,부산,29,0
56,만덕,부산,29,0
24,"괴정, 대티",부산,28,0
96,화명,부산,28,0
17,"거제, 연산, 종합운동장",부산,27,0
22,광안,부산,27,0
4,박물관,경남,26,0
5,"봉황, 수로왕릉",경남,26,0
61,미남,부산,25,0
53,동의대,부산,24,0
11,증산,경남,24,0
81,양정,부산,24,0
21,공항,부산,23,0
30,금련산,부산,21,0
90,장전,부산,21,0
83,오시리아,부산,20,0
16,"개금, 냉정",부산,20,0
79,신해운대,부산,19,0
57,"망미, 민락, 수영",부산,19,0
9,인제대,경남,18,2
3,남양산,경남,17,2
46,덕두,부산,17,2
41,다대포해수욕장,부산,16,2
60,물만골,부산,15,2
69,부산진,부산,15,2
91,재송,부산,14,2
76,수정,부산,13,2
29,금곡,부산,13,2
8,연지공원,경남,13,2
26,"구남, 구명, 구포",부산,13,2
38,낫개,부산,12,2
2,"김해시청, 부원",경남,12,2
40,다대포항,부산,11,2
34,남산,부산,11,2
59,모라,부산,10,2
39,노포,부산,10,2
0,가야대,경남,10,2
31,"금사, 서동",부산,10,2
52,동원,부산,10,2
32,기장,부산,9,2
33,"낙민, 동래, 명장, 수안, 안락, 충렬사",부산,9,2
15,강서구청,부산,9,2
62,반여농산물시장,부산,8,2
78,신평,부산,8,2
54,두실,부산,6,2
77,신장림,부산,5,2
86,율리,부산,5,2
64,범어사,부산,5,2
68,부산원동,부산,5,2
50,동매,부산,4,2
48,"덕포, 모덕",부산,4,2
71,사하,부산,4,2
87,일광,부산,4,2
14,감전,부산,3,2
82,"영산대, 좌천",부산,2,2
35,남산정,부산,2,2
72,서부산유통지구,부산,2,2
94,평강,부산,2,2
98,남창,울산,2,2
85,월내,부산,1,2
20,"고촌, 윗반송",부산,1,2
1,"김해대학, 불암, 지내",경남,1,2
6,부산대양산캠퍼스,경남,1,2
99,덕하,울산,1,2
80,안평,부산,1,2
45,"대저, 체육공원",부산,1,2
63,배산,부산,1,2
12,호포,경남,0,2
43,대사,부산,0,2
55,등구,부산,0,2
75,송정,부산,0,2
73,석대,부산,0,2
97,개운포,울산,0,2
100,망양,울산,0,2
101,서생,울산,0,2
