역명,지역
감전,부산
강서구청,부산
개운포,울산
"고촌, 윗반송",부산
"구남, 구명, 구포",부산
금곡,부산
"금사, 서동",부산
"김해대학, 불암, 지내",경남
남산,부산
남산정,부산
남창,울산
낫개,부산
노포,부산
다대포항,부산
대사,부산
"대저, 체육공원",부산
"덕포, 모덕",부산
덕하,울산
동매,부산
동원,부산
등구,부산
망양,울산
반여농산물시장,부산
배산,부산
범어사,부산
부산대양산캠퍼스,경남
사하,부산
서부산유통지구,부산
서생,울산
석대,부산
송정,부산
신장림,부산
신해운대,부산
안평,부산
연지공원,경남
"영산대, 좌천",부산
오시리아,부산
월내,부산
율리,부산
인제대,경남
일광,부산
태화강,울산
평강,부산
호포,경남
"거제해맞이, 시청",부산
경성대·부경대,부산
"괘법르네시떼, 사상",부산
구서,부산
"국제금융센터·부산은행, 문현, 범내골, 범일, 지게골",부산
남천,부산
"당리, 하단",부산
"덕천, 숙등",부산
"동대신, 서대신",부산
동백,부산
명륜,부산
"부산, 초량",부산
부산대,부산
사직,부산
센텀,부산
양산,경남
온천장,부산
장산,부산
장신대,경남
주례,부산
해운대,부산
가야대,경남
"개금, 냉정",부산
"거제, 연산, 종합운동장",부산
공항,부산
광안,부산
"괴정, 대티",부산
교대,부산
금련산,부산
기장,부산
"김해시청, 부원",경남
"낙민, 동래, 명장, 수안, 안락, 충렬사",부산
남양산,경남
다대포해수욕장,부산
"대연, 못골",부산
덕두,부산
동의대,부산
두실,부산
만덕,부산
"망미, 민락, 수영",부산
모라,부산
물만골,부산
미남,부산
박물관,경남
"봉황, 수로왕릉",경남
부산원동,부산
부산진,부산
수정,부산
신평,부산
양정,부산
장림,부산
장전,부산
재송,부산
중동,부산
증산,경남
화명,부산
"가야, 부암, 부전, 서면, 전포",부산
"남포, 자갈치, 중앙, 토성",부산
"벡스코, 센텀시티",부산
