역명,지역명,상권_ID,클러스터
백양리,강원,8830e1a84dfffff,1
춘천,강원,8830e1af1bfffff,0
김유정,강원,8830e1ad63fffff,0
남춘천,강원,8830e1ac61fffff,0
굴봉산,강원,8830e1ab57fffff,1
강촌,강원,8830e1a837fffff,1
시우,경기,8830e0313bfffff,2
안산,경기,8830e03119fffff,2
시흥시청,경기,8830e03053fffff,2
임진강,경기,8830e57ab5fffff,1
달미,경기,8830e0303dfffff,1
시흥능곡,경기,8830e0301dfffff,2
영통,경기,8830e02ed7fffff,0
매탄권선,경기,8830e02ec1fffff,2
망포,경기,8830e02e89fffff,0
고색,경기,8830e02e4dfffff,2
세류,경기,8830e02e1dfffff,0
원시,경기,8830e0313dfffff,2
능길,경기,8830e0315dfffff,1
한대앞,경기,8830e031b3fffff,0
고잔,경기,8830e0318dfffff,2
오산대,경기,8830e02dddfffff,0
선부,경기,8830e031c9fffff,0
초지,경기,8830e031e9fffff,2
신현,경기,8830e03217fffff,2
월곶,경기,8830e03265fffff,2
정왕,경기,8830e03305fffff,2
오이도,경기,8830e03309fffff,1
달월,경기,8830e03351fffff,1
안양,경기,8830e03429fffff,0
관악,경기,8830e03445fffff,2
중앙,경기,8830e03183fffff,0
정부과천청사,경기,8830e0348bfffff,0
오산,경기,8830e02d8dfffff,2
서동탄,경기,8830e02c1dfffff,0
연천,경기,8830e52d65fffff,2
화서,경기,8830e02095fffff,0
수원,경기,8830e020b3fffff,3
성균관대,경기,8830e020ddfffff,0
어천,경기,8830e02153fffff,1
오목천,경기,8830e0219dfffff,2
반월,경기,8830e02231fffff,2
의왕,경기,8830e02287fffff,2
대야미,경기,8830e022c5fffff,2
당정,경기,8830e022d3fffff,2
군포,경기,8830e022dbfffff,2
야목,경기,8830e02331fffff,3
상록수,경기,8830e0235bfffff,0
사리,경기,8830e0235dfffff,2
병점,경기,8830e02c43fffff,2
광교,경기,8830e02425fffff,0
오리,경기,8830e0248bfffff,0
보정,경기,8830e024a1fffff,2
죽전,경기,8830e024abfffff,3
미금,경기,8830e024d1fffff,0
수지구청,경기,8830e024e3fffff,0
광교중앙,경기,8830e02517fffff,0
수원시청,경기,8830e02521fffff,0
매교,경기,8830e0252dfffff,2
신갈,경기,8830e02597fffff,0
구성,경기,8830e0259bfffff,0
청명,경기,8830e025a5fffff,0
상현,경기,8830e025c1fffff,0
성복,경기,8830e025d9fffff,2
세마,경기,8830e02c07fffff,2
동천,경기,8830e02489fffff,0
과천,경기,8830e03499fffff,0
수리산,경기,8830e03535fffff,2
인덕원,경기,8830e034adfffff,0
원종,경기,8830e0ac59fffff,2
부천종합운동장,경기,8830e0ac47fffff,1
춘의,경기,8830e0ac45fffff,2
역곡,경기,8830e0ac2bfffff,2
까치울,경기,8830e0ac0bfffff,2
정발산,경기,8830e0a753fffff,0
마두,경기,8830e0a719fffff,0
백석,경기,8830e0a713fffff,0
일산,경기,8830e0a66bfffff,0
주엽,경기,8830e0a665fffff,0
장기,경기,8830e0a219fffff,0
탄현,경기,8830e0a64dfffff,3
마산,경기,8830e0a243fffff,0
걸포북변,경기,8830e0a28dfffff,0
풍무,경기,8830e0a2b7fffff,0
사우,경기,8830e0a2bdfffff,0
풍산,경기,8830e0a62bfffff,0
강매,경기,8830e0a5ddfffff,1
행신,경기,8830e0a5c9fffff,0
원당,경기,8830e0a41bfffff,0
능곡,경기,8830e0a421fffff,2
화정,경기,8830e0a439fffff,0
곡산,경기,8830e0a445fffff,1
백마,경기,8830e0a449fffff,0
대곡,경기,8830e0a463fffff,1
원흥,경기,8830e0a489fffff,0
삼송,경기,8830e0a49bfffff,0
소사,경기,8830e0ac67fffff,0
철산,경기,8830e0aca7fffff,0
광명사거리,경기,8830e0acadfffff,0
운천,경기,8830e578d7fffff,1
산본,경기,8830e03533fffff,0
한국항공대,경기,8830e0a591fffff,1
범계,경기,8830e035cbfffff,0
명학,경기,8830e035cdfffff,0
평촌,경기,8830e035d1fffff,0
금정,경기,8830e035ebfffff,0
송탄,경기,8830e392a7fffff,0
진위,경기,8830e3929dfffff,1
석수,경기,8830e03627fffff,0
평택지제,경기,8830e3919dfffff,0
서정리,경기,8830e39017fffff,2
평택,경기,8830e38359fffff,0
대화,경기,8830e0b5b9fffff,0
대공원,경기,8830e0349bfffff,1
운양,경기,8830e0b523fffff,0
운정,경기,8830e0b495fffff,0
양촌,경기,8830e0b199fffff,0
광명,경기,8830e03703fffff,0
구래,경기,8830e0b0a7fffff,0
중동,경기,8830e0af3dfffff,2
부천,경기,8830e0af33fffff,2
부천시청,경기,8830e0af1dfffff,0
신중동,경기,8830e0af11fffff,0
상동,경기,8830e0af0bfffff,0
송내,경기,8830e0af05fffff,0
신천,경기,8830e0ad2bfffff,0
소새울,경기,8830e0ad19fffff,0
시흥대야,경기,8830e0ad07fffff,2
야당,경기,8830e0b4bdfffff,0
범골,경기,8830e1d73dfffff,2
고촌,경기,8830e0a54dfffff,2
청산,경기,8830e1914bfffff,1
성남,경기,8830e15343fffff,3
이매,경기,8830e15355fffff,0
정자,경기,8830e15365fffff,0
수내,경기,8830e1536bfffff,0
초월,경기,8830e15523fffff,0
삼가,경기,8830e15805fffff,3
