역명,지역,클러스터
"강촌, 굴봉산, 백양리, 가평",강원,0
"김유정, 남춘천, 춘천",강원,0
"동천, 미금, 오리",경기,23
"망포, 매교, 매탄권선, 성균관대, 세류, 수원, 수원시청, 영통, 청명, 화서",경기,20
"갈매, 별내, 퇴계원",경기,10
"시흥능곡, 시흥시청",경기,3
"고잔, 능길, 달미, 사리, 상록수, 선부, 시우, 안산, 원시, 중앙, 초지, 한대앞",경기,-1
"구리, 다산, 도농, 동구릉, 장자호수공원",경기,10
"걸포북변, 사우, 풍무",경기,8
"금릉, 금촌",경기,6
"경기도청북부청사, 곤제, 새말, 효자",경기,10
"역곡, 온수",경기,2
"고색, 오목천",경기,19
"부천, 소사",경기,-1
"덕소, 도심, 양정",경기,11
"구래, 마산, 양촌",경기,16
"운양, 장기",경기,5
"광명사거리, 철산",경기,-1
"가천대, 모란, 태평",경기,15
"부천종합운동장, 신중동, 춘의",경기,-1
"남한산성입구, 단대오거리",경기,15
"수진, 신흥",경기,17
"마석, 천마산",경기,5
"부천시청, 상동, 갈산, 굴포천, 부평구청, 삼산체육관",경기,-1
"월롱, 파주",경기,0
"월곶, 소래포구, 인천논현, 호구포",경기,19
"대야미, 반월",경기,0
"강매, 능곡, 대곡, 행신",경기,3
"망월사, 장암",경기,11
"경마공원, 과천, 대공원, 선바위, 정부과천청사",경기,0
"삼송, 지축, 구파발",경기,11
"강남대, 구성, 기흥, 동백, 신갈, 어정, 지석, 초당",경기,8
"보정, 수지구청, 죽전",경기,1
"발곡, 범골, 회룡",경기,6
"송내, 중동, 부개",경기,-1
"송산, 어룡, 탑석",경기,-1
"시흥대야, 신천",경기,9
"군포, 당정",경기,5
"산본, 수리산",경기,1
"의정부시청, 흥선",경기,9
"마두, 정발산",경기,13
"곡산, 백석",경기,-1
"금정, 명학, 범계, 인덕원, 평촌",경기,12
"일산, 탄현",경기,11
"대화, 주엽",경기,7
"둔전, 보평",경기,3
"고진, 김량장, 명지대, 삼가, 시청·용인대, 용인중앙시장",경기,4
"서현, 성남, 수내, 야탑, 이매, 정자, 판교",경기,12
"가능, 경전철의정부, 동오, 의정부, 의정부중앙",경기,19
"오이도, 정왕",경기,0
"광교, 광교중앙, 상현",경기,5
"관악, 광명, 석수",경기,0
"야당, 운정",경기,-1
한국항공대,경기,0
화정,경기,7
"서정리, 송탄, 진위",경기,7
연천,경기,-1
양주,경기,7
안양,경기,19
"오남, 진접",경기,-1
신현,경기,3
신둔도예촌,경기,7
"부발, 이천",경기,0
"상천, 청평",경기,0
소새울,경기,-1
성복,경기,11
상갈,경기,3
산성,경기,3
"세종대왕릉, 여주",경기,0
사릉,경기,-1
별내별가람,경기,19
백마,경기,9
대성리,경기,0
달월,경기,0
녹양,경기,5
남위례,경기,-1
까치울,경기,3
금곡,경기,4
고촌,경기,5
"야목, 어천",경기,0
원종,경기,4
원당,경기,19
의왕,경기,5
"병점, 서동탄, 세마, 오산, 오산대",경기,10
"평택, 평택지제",경기,-1
"문산, 운천, 임진강",경기,0
풍산,경기,-1
원흥,경기,20
평내호평,경기,22
팔당,경기,7
"아신, 양평, 오빈",경기,0
"국수, 신원",경기,0
"미사, 하남검단산, 하남시청, 하남풍산",경기,14
"동두천, 동두천중앙, 보산, 소요산, 지행",경기,23
"덕계, 덕정",경기,7
"양수, 운길산",경기,0
"경기광주, 곤지암, 삼동, 초월",경기,0
"용문, 원덕, 지평",경기,0
전대·에버랜드,경기,20
"전곡, 청산",경기,0
연지공원,경남,9
