지역,역명,상권_유형
강원,강촌,그룹 3
강원,굴봉산,그룹 3
강원,김유정,그룹 0
강원,남춘천,그룹 0
강원,백양리,그룹 3
강원,춘천,그룹 0
경기,"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",그룹 2
경기,가천대,그룹 0
경기,가평,그룹 0
경기,갈매,그룹 0
경기,강남대,그룹 0
경기,강매,그룹 3
경기,걸포북변,그룹 0
경기,경기광주,그룹 2
경기,경마공원,그룹 3
경기,고색,그룹 2
경기,고잔,그룹 0
경기,고진,그룹 2
경기,고촌,그룹 2
경기,곡산,그룹 3
경기,곤지암,그룹 2
경기,과천,그룹 0
경기,관악,그룹 2
경기,광교,그룹 0
경기,광교중앙,그룹 1
경기,광명,그룹 0
경기,광명사거리,그룹 0
경기,구래,그룹 0
경기,구리,그룹 1
경기,구성,그룹 0
경기,국수,그룹 3
경기,군포,그룹 2
경기,금곡,그룹 2
경기,금릉,그룹 2
경기,금정,그룹 0
경기,금촌,그룹 0
경기,기흥,그룹 0
경기,"김량장, 명지대",그룹 0
경기,까치울,그룹 2
경기,남위례,그룹 2
경기,"남한산성입구, 단대오거리",그룹 0
경기,녹양,그룹 2
경기,능곡,그룹 0
경기,능길,그룹 3
경기,다산,그룹 0
경기,달미,그룹 3
경기,달월,그룹 3
경기,당정,그룹 2
경기,대곡,그룹 3
경기,대공원,그룹 3
경기,대성리,그룹 3
경기,대야미,그룹 0
경기,대화,그룹 0
경기,덕계,그룹 0
경기,덕소,그룹 2
경기,덕정,그룹 0
경기,도농,그룹 0
경기,도심,그룹 2
경기,동구릉,그룹 0
경기,동두천,그룹 3
경기,동두천중앙,그룹 2
경기,동백,그룹 2
경기,"동천, 오리",그룹 0
경기,둔전,그룹 2
경기,마두,그룹 0
경기,마산,그룹 0
경기,마석,그룹 0
경기,망월사,그룹 2
경기,망포,그룹 0
경기,매교,그룹 2
경기,매탄권선,그룹 2
경기,명학,그룹 0
경기,"모란, 태평",그룹 0
경기,문산,그룹 2
경기,미금,그룹 0
경기,미사,그룹 1
경기,반월,그룹 2
경기,"발곡, 범골, 회룡",그룹 1
경기,백마,그룹 0
경기,백석,그룹 0
경기,범계,그룹 1
경기,별내,그룹 2
경기,별내별가람,그룹 0
경기,병점,그룹 0
경기,보산,그룹 0
경기,보정,그룹 2
경기,보평,그룹 2
경기,부발,그룹 3
경기,부천,그룹 1
경기,부천시청,그룹 1
경기,부천종합운동장,그룹 3
경기,사릉,그룹 0
경기,사리,그룹 2
경기,사우,그룹 0
경기,산본,그룹 0
경기,산성,그룹 2
경기,삼가,그룹 0
경기,삼동,그룹 2
경기,삼송,그룹 0
경기,상갈,그룹 2
경기,상동,그룹 1
경기,상록수,그룹 0
경기,상천,그룹 3
경기,상현,그룹 0
경기,서동탄,그룹 0
경기,서정리,그룹 2
경기,서현,그룹 1
경기,석수,그룹 0
경기,선바위,그룹 3
경기,선부,그룹 0
경기,성균관대,그룹 0
경기,"성남, 이매, 판교",그룹 0
경기,성복,그룹 0
경기,세류,그룹 0
경기,세마,그룹 2
경기,세종대왕릉,그룹 3
경기,소사,그룹 0
경기,소새울,그룹 2
경기,소요산,그룹 2
경기,송내,그룹 0
경기,"송산, 어룡, 탑석",그룹 2
경기,송탄,그룹 0
경기,수내,그룹 1
경기,수리산,그룹 2
경기,수원,그룹 1
경기,수원시청,그룹 1
경기,수지구청,그룹 0
경기,"수진, 신흥",그룹 0
경기,시우,그룹 2
경기,시청·용인대,그룹 2
경기,시흥능곡,그룹 0
경기,시흥대야,그룹 2
경기,시흥시청,그룹 2
경기,신갈,그룹 0
경기,신둔도예촌,그룹 0
경기,신원,그룹 3
경기,신중동,그룹 1
경기,신천,그룹 0
경기,신현,그룹 2
경기,아신,그룹 3
경기,안산,그룹 2
경기,안양,그룹 1
경기,야당,그룹 0
경기,야목,그룹 0
경기,야탑,그룹 1
경기,양수,그룹 0
경기,양정,그룹 3
경기,양주,그룹 0
경기,양촌,그룹 0
경기,양평,그룹 0
경기,어정,그룹 0
경기,어천,그룹 3
경기,여주,그룹 3
경기,역곡,그룹 0
경기,연천,그룹 2
경기,영통,그룹 0
경기,오남,그룹 2
경기,오목천,그룹 2
경기,오빈,그룹 3
경기,오산,그룹 2
경기,오산대,그룹 0
경기,오이도,그룹 3
경기,용문,그룹 0
경기,용인중앙시장,그룹 0
경기,운길산,그룹 3
경기,운양,그룹 0
경기,운정,그룹 0
경기,운천,그룹 3
경기,원당,그룹 0
경기,원덕,그룹 3
경기,원시,그룹 2
경기,원종,그룹 2
경기,원흥,그룹 0
경기,월곶,그룹 2
경기,월롱,그룹 2
경기,의왕,그룹 2
경기,이천,그룹 0
경기,인덕원,그룹 0
경기,일산,그룹 0
경기,임진강,그룹 3
경기,장기,그룹 0
경기,장암,그룹 0
경기,장자호수공원,그룹 0
경기,전곡,그룹 0
경기,전대·에버랜드,그룹 0
경기,정발산,그룹 1
경기,정부과천청사,그룹 0
경기,정왕,그룹 2
경기,정자,그룹 1
경기,주엽,그룹 0
경기,죽전,그룹 0
경기,중동,그룹 2
경기,중앙,그룹 1
경기,지석,그룹 0
경기,지축,그룹 0
경기,지평,그룹 3
경기,지행,그룹 0
경기,진위,그룹 3
경기,진접,그룹 0
경기,천마산,그룹 0
경기,철산,그룹 0
경기,청명,그룹 0
경기,청산,그룹 3
경기,청평,그룹 0
경기,초당,그룹 2
경기,초월,그룹 0
경기,초지,그룹 2
경기,춘의,그룹 2
경기,탄현,그룹 0
경기,퇴계원,그룹 2
경기,파주,그룹 2
경기,팔당,그룹 0
경기,평내호평,그룹 0
경기,평촌,그룹 0
경기,평택,그룹 0
경기,평택지제,그룹 0
경기,풍무,그룹 0
경기,풍산,그룹 0
경기,하남검단산,그룹 0
경기,하남시청,그룹 0
경기,하남풍산,그룹 0
경기,한국항공대,그룹 3
경기,한대앞,그룹 0
경기,행신,그룹 0
경기,화서,그룹 0
경기,화정,그룹 1
경남,가야대,그룹 2
경남,"김해대학, 불암, 지내",그룹 2
경남,"김해시청, 부원",그룹 2
경남,남양산,그룹 0
경남,박물관,그룹 0
경남,"봉황, 수로왕릉",그룹 0
경남,부산대양산캠퍼스,그룹 2
경남,양산,그룹 0
경남,연지공원,그룹 0
경남,인제대,그룹 0
경남,장신대,그룹 0
경남,증산,그룹 0
경남,호포,그룹 3
경북,경산,그룹 0
경북,구미,그룹 0
경북,북삼,그룹 3
경북,사곡,그룹 0
경북,왜관,그룹 2
광주,공항,그룹 3
광주,"광주송정, 도산",그룹 0
광주,"금남로4가, 금남로5가",그룹 0
광주,"김대중컨벤션센터, 상무",그룹 0
광주,남광주,그룹 2
광주,녹동,그룹 2
광주,"농성, 쌍촌, 화정",그룹 2
광주,"돌고개, 양동시장",그룹 2
광주,문화전당,그룹 1
광주,소태,그룹 2
광주,송정공원,그룹 2
광주,운천,그룹 0
광주,평동,그룹 0
광주,학동증심사입구,그룹 2
대구,각산,그룹 0
대구,"감삼, 두류",그룹 0
대구,강창,그룹 0
대구,"건들바위, 대봉교",그룹 0
대구,경대병원,그룹 0
대구,계명대,그룹 0
대구,고산,그룹 0
대구,"공단, 만평, 북구청, 원대, 팔달시장",그룹 0
대구,"교대, 남산, 대명, 명덕, 서부정류장, 안지랑, 영대병원, 현충로",그룹 0
대구,"구암, 동천, 칠곡운암, 태전, 팔거",그룹 0
대구,"내당, 반고개",그룹 0
대구,다사,그룹 2
대구,"달성공원, 서문시장, 청라언덕",그룹 0
대구,담티,그룹 0
대구,대곡,그룹 0
대구,"대구, 반월당, 중앙로, 칠성시장",그룹 1
대구,"대구은행, 수성시장",그룹 0
대구,대구한의대병원,그룹 2
대구,대실,그룹 0
대구,"동구청, 동대구, 아양교",그룹 0
대구,동촌,그룹 0
대구,만촌,그룹 0
대구,매천,그룹 0
대구,"매천시장, 팔달",그룹 2
대구,문양,그룹 3
대구,반야월,그룹 0
대구,방촌,그룹 2
대구,"범물, 용지",그룹 0
대구,"범어, 수성구민운동장",그룹 0
대구,부호,그룹 3
대구,사월,그룹 0
대구,"상인, 월배, 진천",그룹 0
대구,서대구,그룹 2
대구,설화명곡,그룹 0
대구,"성서산업단지, 이곡",그룹 0
대구,송현,그룹 2
대구,수성구청,그룹 0
대구,수성못,그룹 0
대구,수성알파시티,그룹 3
대구,신기,그룹 2
대구,신매,그룹 0
대구,신천,그룹 0
대구,안심,그룹 3
대구,"어린이세상, 황금",그룹 0
대구,연호,그룹 3
대구,영남대,그룹 0
대구,용계,그룹 3
대구,용산,그룹 0
대구,월촌,그룹 0
대구,율하,그룹 2
대구,임당,그룹 0
대구,정평,그룹 0
대구,죽전,그룹 0
대구,지산,그룹 2
대구,"칠곡경대병원, 학정",그룹 0
대구,하양,그룹 0
대구,해안,그룹 3
대구,화원,그룹 0
대전,"갈마, 월평, 정부청사",그룹 0
대전,갑천,그룹 0
대전,구암,그룹 0
대전,노은,그룹 0
대전,대동,그룹 0
대전,"대전, 서대전네거리, 중구청, 중앙로",그룹 1
대전,반석,그룹 0
대전,"시청, 탄방",그룹 1
대전,신흥,그룹 0
대전,오룡,그룹 0
대전,용문,그룹 0
대전,월드컵경기장,그룹 3
대전,유성온천,그룹 0
대전,지족,그룹 0
대전,판암,그룹 0
대전,현충원,그룹 0
부산,"가야, 부암, 부전, 서면, 전포",그룹 1
부산,감전,그룹 2
부산,강서구청,그룹 2
부산,"개금, 냉정",그룹 2
부산,"거제, 연산, 종합운동장",그룹 0
부산,"거제해맞이, 시청",그룹 0
부산,경성대·부경대,그룹 1
부산,"고촌, 윗반송",그룹 2
부산,공항,그룹 0
부산,광안,그룹 0
부산,"괘법르네시떼, 사상",그룹 0
부산,"괴정, 대티",그룹 0
