역명,타입내_순위,노선명,지역,상권_총점,총_승하차객수,프리미엄_점수,가성비_점수,상권_성격
을지로입구,1,2호선,서울,136,99168,105,31,Type 0. 초대형 핵심 광역 상권
종각,2,1호선,서울,124,77041,93,31,Type 0. 초대형 핵심 광역 상권
강남,3,"2호선, 신분당선",서울,119,196316,93,26,Type 0. 초대형 핵심 광역 상권
광화문,4,5호선,서울,117,65042,93,24,Type 0. 초대형 핵심 광역 상권
시청,5,"1호선, 2호선",서울,110,58520,87,23,Type 0. 초대형 핵심 광역 상권
회현,6,4호선,서울,105,53255,84,21,Type 0. 초대형 핵심 광역 상권
명동,7,4호선,서울,94,68791,75,19,Type 0. 초대형 핵심 광역 상권
여의도,8,"5호선, 9호선",서울,92,111231,78,14,Type 0. 초대형 핵심 광역 상권
서면,9,"부산1호선, 부산2호선",부산,91,127218,66,25,Type 0. 초대형 핵심 광역 상권
가산디지털단지,10,"1호선, 7호선",서울,76,109224,45,31,Type 0. 초대형 핵심 광역 상권
중앙로,11,대구1호선,대구,74,30120,57,17,Type 0. 초대형 핵심 광역 상권
삼성,12,2호선,서울,74,102363,63,11,Type 0. 초대형 핵심 광역 상권
신논현,13,"9호선, 신분당선",서울,72,84344,54,18,Type 0. 초대형 핵심 광역 상권
고속터미널,14,"3호선, 7호선, 9호선",서울,71,163990,57,14,Type 0. 초대형 핵심 광역 상권
선릉,15,"2호선, 수인분당선",서울,71,127745,48,23,Type 0. 초대형 핵심 광역 상권
홍대입구,16,"2호선, 경의중앙선, 공항철도",서울,71,182133,51,20,Type 0. 초대형 핵심 광역 상권
서대문,17,5호선,서울,69,34450,51,18,Type 0. 초대형 핵심 광역 상권
잠실,18,"2호선, 8호선",서울,65,195316,54,11,Type 0. 초대형 핵심 광역 상권
역삼,19,2호선,서울,64,99058,45,19,Type 0. 초대형 핵심 광역 상권
반월당,20,"대구1호선, 대구2호선",대구,62,66113,51,11,Type 0. 초대형 핵심 광역 상권
신촌,21,"2호선, 경의중앙선",서울,61,73990,48,13,Type 0. 초대형 핵심 광역 상권
용산,22,"1호선, 경의중앙선",서울,61,186254,45,16,Type 0. 초대형 핵심 광역 상권
공덕,23,"5호선, 6호선, 경의중앙선, 공항철도",서울,57,76576,39,18,Type 0. 초대형 핵심 광역 상권
혜화,24,4호선,서울,57,71978,42,15,Type 0. 초대형 핵심 광역 상권
신용산,25,4호선,서울,56,45233,39,17,Type 0. 초대형 핵심 광역 상권
노원,26,"4호선, 7호선",서울,55,81619,39,16,Type 0. 초대형 핵심 광역 상권
을지로3가,27,"2호선, 3호선",서울,55,72334,33,22,Type 0. 초대형 핵심 광역 상권
건대입구,28,"2호선, 7호선",서울,54,101873,36,18,Type 0. 초대형 핵심 광역 상권
발산,29,5호선,서울,54,46341,39,15,Type 0. 초대형 핵심 광역 상권
서강대,30,경의중앙선,서울,54,3914,45,9,Type 0. 초대형 핵심 광역 상권
