역명,지역
"가능, 경전철의정부, 동오, 의정부, 의정부중앙",경기
"가락시장, 개롱, 경찰병원, 문정, 방이, 복정, 오금, 장지",서울
"가양, 등촌, 증미",서울
"가천대, 모란, 태평",경기
"강남구청, 선릉, 선정릉",서울
"강동, 길동, 천호",서울
강동구청,서울
"강일, 상일동",서울
"개봉, 구일",서울
"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 매봉, 학여울, 한티",서울
"개화, 개화산, 방화",서울
"거여, 마천",서울
"걸포북변, 사우, 풍무",경기
"경기도청북부청사, 곤제, 새말, 효자",경기
고덕,서울
"고려대, 안암",서울
"공릉, 먹골, 봉화산, 석계, 태릉입구, 화랑대",서울
"공항시장, 김포공항, 송정, 신방화",서울
관악산,서울
"광명사거리, 철산",경기
광운대,서울
"광흥창, 서강대",서울
"구래, 마산, 양촌",경기
"구로, 도림천, 신도림",서울
"구리, 다산, 도농, 동구릉, 장자호수공원",경기
"구산, 독바위, 불광, 역촌, 연신내",서울
"군자, 아차산",서울
"군포, 당정",경기
"굽은다리, 명일",서울
"금정, 명학, 범계, 인덕원, 평촌",경기
"금천구청, 독산",서울
"길음, 정릉",서울
까치산,서울
"까치울, 부천시청, 부천종합운동장, 상동, 신중동, 춘의",경기
낙성대,서울
"남성, 총신대입구",서울
"남영, 삼각지, 숙대입구",서울
"남한산성입구, 단대오거리",경기
"내방, 방배",서울
"노들, 흑석",서울
"노량진, 상도, 숭실대입구, 장승배기",서울
"노원, 마들, 상계",서울
"녹천, 창동",서울
"답십리, 마장, 신답, 왕십리, 용답, 한양대",서울
대흥,서울
"도봉, 도봉산, 수락산",서울
"동대문역사문화공원, 동대입구, 약수, 청구",서울
"동천, 미금, 오리",경기
둔촌동,서울
"디지털미디어시티, 수색",서울
"뚝섬, 서울숲, 성수",서울
"마포구청, 월드컵경기장",서울
"망우, 면목, 상봉, 중랑",서울
"목동, 신정, 신정네거리, 오목교",서울
"몽촌토성, 송파나루, 한성백제",서울
미아사거리,서울
"발곡, 범골, 회룡",경기
"발산, 양천향교, 우장산, 화곡",서울
방학,서울
봉천,서울
"부천, 소사",경기
"사가정, 용마산",서울
사당,서울
"산본, 수리산",경기
상수,서울
"상왕십리, 행당",서울
"새절, 응암, 증산",서울
"서울대벤처타운, 서원",서울
"서현, 성남, 수내, 야탑, 이매, 정자, 판교",경기
"석촌, 송파",서울
성복,경기
성신여대입구,서울
"송내, 중동",경기
수서,서울
"수진, 신흥",경기
"시흥대야, 신천",경기
"신목동, 염창",서울
신설동,서울
"신이문, 외대앞, 회기",서울
신풍,서울
쌍문,서울
"아현, 애오개",서울
암사,서울
"언주, 역삼, 학동",서울
여의나루,서울
"용두, 제기동",서울
"월계, 중계, 하계",서울
이촌,서울
장한평,서울
중곡,서울
청량리,서울
평내호평,경기
화정,경기
효창공원앞,서울
"4.19민주묘지, 가오리, 미아, 북한산보국문, 북한산우이, 삼양, 삼양사거리, 솔밭공원, 솔샘, 수유, 화계",서울
가좌,서울
"가평, 상천, 청평",경기
"갈매, 별내, 퇴계원",경기
"강남대, 구성, 기흥, 동백, 신갈, 어정, 지석, 초당",경기
"강매, 능곡, 대곡, 행신",경기
"경기광주, 곤지암, 삼동, 초월",경기
"경마공원, 과천, 대공원, 선바위, 정부과천청사",경기
"고색, 오목천",경기
"고잔, 능길, 달미, 사리, 상록수, 선부, 시우, 안산, 원시, 중앙, 초지, 한대앞",경기
"고진, 김량장, 명지대, 삼가, 시청·용인대, 용인중앙시장",경기
고촌,경기
"곡산, 백석",경기
"관악, 광명, 석수",경기
"광교, 광교중앙, 상현",경기
"구반포, 동작",서울
"국수, 신원",경기
금곡,경기
"금릉, 금촌",경기
금호,서울
남위례,경기
남태령,서울
녹번,서울
"녹사평, 이태원, 한강진",서울
녹양,경기
"달월, 월곶",경기
대성리,경기
"대야미, 반월",경기
"대화, 주엽",경기
"덕계, 덕정",경기
"덕소, 도심, 양정",경기
"독립문, 무악재, 홍제",서울
"돌곶이, 상월곡, 월곡",서울
"동두천, 동두천중앙, 보산, 소요산, 지행",경기
"둔전, 보평",경기
"둔촌오륜, 올림픽공원",서울
"마석, 천마산",경기
"망월사, 장암",경기
"문산, 운천, 임진강",경기
"미사, 하남검단산, 하남시청, 하남풍산",경기
백마,경기
버티고개,서울
별내별가람,경기
"병점, 서동탄, 세마, 오산, 오산대",경기
"보문, 창신",서울
"보정, 수지구청, 죽전",경기
"부발, 이천",경기
불암산,서울
사릉,경기
산성,경기
"삼송, 지축, 구파발",경기
상갈,경기
서빙고,서울
