상권_ID,역명,지역,가성비_지수,클러스터
371,홍대입구,서울,44,1
287,"마곡, 마곡나루",서울,40,1
241,"공덕, 마포",서울,38,1
250,구로디지털단지,서울,32,1
248,"교대, 서초",서울,32,1
352,"잠실, 잠실나루",서울,32,1
237,건대입구,서울,31,1
261,남부터미널,서울,31,1
321,"신길, 영등포, 영등포시장",서울,31,1
222,"가산디지털단지, 남구로",서울,31,1
297,"문래, 영등포구청",서울,30,1
315,서울대입구,서울,30,1
343,오목교,서울,30,1
299,발산,서울,30,1
268,노원,서울,29,1
119,수원시청,경기,29,1
308,"삼전, 잠실새내",서울,29,1
135,안양,경기,28,1
334,양재,서울,28,1
370,"한성대입구, 혜화",서울,28,1
230,"강변, 구의",서울,28,1
254,국회의사당,서울,28,1
94,상동,경기,27,1
286,"뚝섬, 서울숲, 성수",서울,27,1
179,정발산,경기,27,1
238,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 성신여대입구, 시청, 신금호, 신당, 신설동, 안국, 약수, 옥수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울,27,1
274,"당산, 선유도",서울,27,1
374,회기,서울,26,1
69,미사,경기,26,1
138,야탑,경기,26,1
130,신중동,경기,26,1
302,"봉은사, 삼성, 삼성중앙, 청담",서울,26,1
332,압구정,서울,26,1
317,석촌고분,서울,25,1
366,총신대입구,서울,25,1
18,광교중앙,경기,24,1
100,서현,경기,24,1
186,중앙,경기,24,1
341,연신내,서울,24,1
223,"가양, 등촌, 증미",서울,24,1
182,정자,경기,24,1
74,범계,경기,23,1
118,수원,경기,23,1
116,수내,경기,23,1
82,부천,경기,23,1
228,"강동, 길동, 천호",서울,22,1
219,화정,경기,22,1
83,부천시청,경기,22,1
298,미아사거리,서울,22,1
272,"답십리, 마장, 상왕십리, 신답, 왕십리, 용답, 한양대, 행당",서울,21,2
295,"몽촌토성, 석촌, 송파, 송파나루, 한성백제",서울,21,2
373,화곡,서울,21,2
22,구리,경기,21,2
71,"발곡, 범골, 회룡",경기,21,2
58,마두,경기,20,2
88,산본,경기,20,2
249,구로,서울,20,2
38,다산,경기,20,2
247,"광흥창, 대흥, 망원, 상수, 서강대, 신촌, 이대, 합정",서울,19,2
267,노량진,서울,19,2
313,"서대문, 아현, 애오개, 충정로",서울,19,2
312,"새절, 응암",서울,19,2
207,평촌,경기,19,2
21,구래,경기,18,2
131,신천,경기,18,2
303,봉천,서울,18,2
194,철산,경기,18,2
353,장지,서울,18,2
256,"굽은다리, 명일",서울,18,2
232,개봉,서울,18,2
240,"고려대, 안암",서울,18,2
19,광명,경기,18,2
258,길음,서울,18,2
283,둔촌동,서울,18,2
365,청량리,서울,17,2
103,선부,경기,17,2
362,창동,서울,17,2
339,어린이대공원,서울,17,2
326,"신이문, 외대앞",서울,17,2
328,쌍문,서울,17,2
292,"먹골, 봉화산, 태릉입구, 화랑대",서울,17,2
242,공릉,서울,17,2
28,금정,경기,17,2
275,대림,서울,17,2
56,"동천, 오리",경기,17,2
113,송내,경기,17,2
306,"사가정, 용마산",서울,17,2
149,영통,경기,17,2
77,병점,경기,16,2
251,"구산, 불광, 역촌",서울,16,2
265,"내방, 방배",서울,16,2
338,양평,서울,16,2
20,광명사거리,경기,16,2
87,사우,경기,16,2
367,하계,서울,16,2
310,"상도, 장승배기",서울,16,2
34,"남한산성입구, 단대오거리",경기,16,2
337,양천향교,서울,16,2
333,압구정로데오,서울,15,2
206,평내호평,경기,15,2
120,수지구청,경기,15,2
307,사당,서울,15,2
62,망포,경기,15,2
273,"당곡, 대방, 보라매, 보라매공원, 보라매병원, 샛강, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림, 여의도",서울,15,2
253,구파발,서울,15,2
236,"거여, 마천",서울,15,2
229,강동구청,서울,15,2
294,"목동, 신정, 신정네거리",서울,15,2
121,"수진, 신흥",경기,15,2
227,"강남구청, 선릉, 선정릉",서울,14,2
224,"가오리, 미아, 삼양, 삼양사거리, 솔샘, 수유, 화계",서울,14,2
73,백석,경기,14,2
68,미금,경기,14,2
66,"모란, 태평",경기,14,2
216,한대앞,경기,14,2
246,광운대,서울,14,2
10,고잔,경기,14,2
0,"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",경기,14,2
340,여의나루,서울,14,2
300,방학,서울,14,2
106,성복,경기,14,2
180,정부과천청사,경기,14,2
172,일산,경기,14,2
110,소사,경기,14,2
342,오류동,서울,13,2
372,홍제,서울,13,2
160,운정,경기,13,2
124,시흥능곡,경기,13,2
134,안산,경기,13,2
