상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
289,홍대입구,서울,151.1,44.0,2
207,"강남, 강남구청, 개포동, 고속터미널, 구룡, 구반포, 논현, 대모산입구, 대청, 대치, 도곡, 동작, 매봉, 반포, 봉은사, 사평, 삼성, 삼성중앙, 선릉, 선정릉, 신논현, 신반포, 신사, 언주, 역삼, 잠원, 청담, 학동, 학여울, 한티",서울,138.5,40.0,2
77,"부천시청, 상동",경기,126.1,38.0,2
220,"교대, 남부터미널, 서초",서울,122.0,39.0,2
214,"경복궁, 고려대, 공덕, 광화문, 광흥창, 금호, 답십리, 대흥, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 마장, 마포, 망원, 명동, 버티고개, 보문, 상수, 상왕십리, 서강대, 서대문, 서울역, 성신여대입구, 시청, 신금호, 신답, 신당, 신설동, 신촌, 아현, 안국, 안암, 애오개, 약수, 옥수, 왕십리, 용답, 용두, 을지로3가, 을지로4가, 을지로입구, 응봉, 이대, 제기동, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 충정로, 한양대, 합정, 행당, 회현",서울,109.3,35.0,2
288,"한성대입구, 혜화",서울,103.7,28.0,2
54,"마두, 정발산",경기,101.1,30.0,2
252,발산,서울,99.7,30.0,2
237,노원,서울,99.4,29.0,2
111,수원시청,경기,96.5,29.0,2
208,"강변, 구의",서울,94.8,28.0,2
269,양재,서울,92.2,28.0,2
267,압구정,서울,92.2,26.0,2
110,수원,경기,91.7,23.0,2
204,"가산디지털단지, 남구로",서울,91.4,31.0,2
222,"구로디지털단지, 대림",서울,89.2,30.0,2
127,야탑,경기,88.5,26.0,2
213,"건대입구, 어린이대공원",서울,88.5,27.0,2
124,안양,경기,87.9,28.0,2
241,"당산, 선유도",서울,82.5,27.0,2
93,서현,경기,81.8,24.0,2
68,범계,경기,79.6,23.0,2
171,중앙,경기,78.8,24.0,2
64,미사,경기,77.6,26.0,2
275,"우장산, 화곡",서울,76.4,24.0,2
167,정자,경기,75.2,24.0,2
108,수내,경기,75.2,23.0,2
205,"가양, 등촌, 신목동, 염창, 증미",서울,74.7,26.0,2
17,광교중앙,경기,74.6,24.0,2
82,산본,경기,72.9,20.0,0
201,화정,경기,72.9,22.0,0
248,"뚝섬, 서울숲, 성수",서울,71.6,27.0,2
232,"남영, 삼각지, 숙대입구, 신용산, 용산, 이촌, 효창공원앞",서울,70.7,19.0,0
251,미아사거리,서울,69.0,22.0,0
231,"남성, 총신대입구",서울,66.3,21.0,0
221,구로,서울,65.4,20.0,0
76,부천,경기,64.5,23.0,0
