상권_ID,역명,지역,프리미엄_지수,클러스터
401,홍대입구,서울,151.1,2
329,선릉,서울,142.8,2
241,"고속터미널, 반포, 사평, 신반포, 잠원",서울,142.3,2
291,"마곡, 마곡나루",서울,131.0,2
226,"강남, 논현, 신논현, 신사",서울,130.3,2
242,"공덕, 마포",서울,121.4,2
249,"교대, 서초",서울,107.3,2
364,오목교,서울,106.8,2
310,"봉은사, 삼성, 삼성중앙, 청담",서울,106.7,2
361,영등포,서울,106.4,2
248,"광흥창, 대흥, 상수, 서강대, 신촌, 이대",서울,105.8,2
376,"잠실, 잠실나루",서울,104.9,2
398,"한성대입구, 혜화",서울,103.7,2
263,남부터미널,서울,102.5,2
237,건대입구,서울,102.5,2
307,발산,서울,99.7,2
270,노원,서울,99.4,2
119,수원시청,경기,96.5,2
317,"삼전, 잠실새내",서울,94.8,2
230,"강변, 구의",서울,94.8,2
303,"문래, 영등포구청",서울,94.7,2
256,국회의사당,서울,94.2,2
352,양재,서울,92.2,2
350,압구정,서울,92.2,2
179,정발산,경기,91.8,2
400,합정,서울,91.7,2
118,수원,경기,91.7,2
222,"가산디지털단지, 남구로",서울,91.4,2
251,구로디지털단지,서울,89.0,2
138,야탑,경기,88.5,2
135,안양,경기,87.9,2
94,상동,경기,87.8,2
238,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 시청, 신당, 안국, 약수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울,87.7,2
278,"대방, 샛강, 여의도",서울,86.5,2
404,회기,서울,86.0,2
326,서울대입구,서울,85.5,2
130,신중동,경기,84.2,2
393,총신대입구,서울,82.5,2
100,서현,경기,81.8,2
328,석촌고분,서울,81.0,2
362,영등포시장,서울,79.9,0
74,범계,경기,79.6,0
186,중앙,경기,78.8,0
335,"수유, 화계",서울,78.2,0
69,미사,경기,77.6,0
228,"강동, 길동",서울,75.6,0
116,수내,경기,75.2,0
182,정자,경기,75.2,0
18,광교중앙,경기,74.6,0
88,산본,경기,72.9,0
219,화정,경기,72.9,0
332,성신여대입구,서울,72.0,0
390,천호,서울,71.0,0
227,"강남구청, 선정릉",서울,71.0,0
360,연신내,서울,70.8,0
83,부천시청,경기,70.1,0
223,"가양, 증미",서울,69.6,0
306,미아사거리,서울,69.0,0
372,응암,서울,68.4,0
301,"몽촌토성, 석촌, 송파, 송파나루, 한성백제",서울,67.2,0
58,마두,경기,67.2,0
304,문정,서울,67.0,0
296,망원,서울,67.0,0
403,화곡,서울,66.4,0
290,"뚝섬, 서울숲",서울,66.4,0
295,"망우, 상봉",서울,66.2,0
22,구리,경기,65.5,0
250,구로,서울,65.4,0
324,"서대문, 아현, 애오개, 충정로",서울,65.4,0
82,부천,경기,64.5,0
275,"당곡, 보라매, 보라매공원, 보라매병원, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림",서울,63.9,0
378,장지,서울,63.8,0
240,"고려대, 안암",서울,63.6,0
351,압구정로데오,서울,62.4,0
19,광명,경기,61.2,0
269,노량진,서울,61.1,0
394,태릉입구,서울,59.9,0
194,철산,경기,59.8,0
276,당산,서울,58.9,0
260,길음,서울,58.2,0
358,"언주, 역삼, 학동",서울,57.6,0
38,다산,경기,57.6,0
258,"굽은다리, 명일",서울,57.1,0
71,"발곡, 범골, 회룡",경기,57.0,0
343,신설동,서울,56.8,0
149,영통,경기,56.7,0
103,선부,경기,56.6,0
359,여의나루,서울,56.4,0
207,평촌,경기,56.0,0
21,구래,경기,55.8,0
131,신천,경기,54.6,0
320,"상왕십리, 행당",서울,53.6,0
357,어린이대공원,서울,53.6,0
243,공릉,서울,53.0,0
253,"구산, 불광, 역촌",서울,52.2,0
331,성수,서울,52.2,0
56,"동천, 오리",경기,52.0,0
255,구파발,서울,52.0,0
392,청량리,서울,51.4,0
346,쌍문,서울,51.4,0
316,사당,서울,50.8,0
286,둔촌동,서울,50.8,0
232,개봉,서울,50.0,0
388,창동,서울,49.8,0
311,봉천,서울,49.4,0
206,평내호평,경기,49.2,0
73,백석,경기,49.0,0
267,"내방, 방배",서울,48.9,0
120,수지구청,경기,48.8,0
334,수서,서울,48.7,0
28,금정,경기,48.6,0
113,송내,경기,48.6,0
87,사우,경기,48.4,0
208,평택,경기,48.3,0
344,"신이문, 외대앞",서울,48.2,0
34,"남한산성입구, 단대오거리",경기,47.8,0
300,"목동, 신정, 신정네거리",서울,47.6,0
288,등촌,서울,47.5,0
247,광운대,서울,47.2,0
68,미금,경기,47.1,0
20,광명사거리,경기,46.6,0
277,대림,서울,46.5,0
66,"모란, 태평",경기,45.4,0
355,양천향교,서울,45.0,0
356,양평,서울,44.4,1
229,강동구청,서울,44.2,1
121,"수진, 신흥",경기,44.0,1
183,주엽,경기,43.6,1
62,망포,경기,43.6,1
373,이촌,서울,43.6,1
330,선유도,서울,43.4,1
172,일산,경기,43.4,1
77,병점,경기,43.2,1
216,한대앞,경기,43.1,1
395,하계,서울,42.6,1
308,방학,서울,42.6,1
319,상도,서울,42.6,1
160,운정,경기,42.3,1
341,신도림,서울,42.3,1
402,홍제,서울,41.8,1
348,암사,서울,41.8,1
180,정부과천청사,경기,41.6,1
289,"디지털미디어시티, 수색",서울,41.4,1
323,새절,서울,41.2,1
315,사가정,서울,41.0,1
384,중랑,서울,40.9,1
262,낙성대,서울,40.6,1
174,장기,경기,39.8,1
136,야당,경기,39.6,1
399,한양대,서울,39.5,1
190,지행,경기,39.4,1
106,성복,경기,39.4,1
257,군자,서울,39.2,1
342,"신목동, 염창",서울,39.0,1
322,상일동,서울,39.0,1
218,화서,경기,38.6,1
363,오류동,서울,38.1,1
345,신풍,서울,38.0,1
124,시흥능곡,경기,37.9,1
298,먹골,서울,37.8,1
159,운양,경기,37.7,1
406,흑석,서울,37.7,1
30,기흥,경기,37.6,1
110,소사,경기,37.4,1
184,죽전,경기,37.4,1
265,"남영, 삼각지, 숙대입구, 신용산, 용산",서울,37.1,1
10,고잔,경기,36.5,1
259,금천구청,서울,36.2,1
383,중곡,서울,36.2,1
176,장자호수공원,경기,36.0,1
171,인덕원,경기,35.8,1
239,고덕,서울,35.8,1
97,상현,경기,35.8,1
65,명학,경기,35.6,1
157,용인중앙시장,경기,35.0,1
245,관악산,서울,34.8,1
347,아차산,서울,34.6,1
367,"용두, 제기동",서울,34.4,1
50,도농,경기,34.4,1
0,"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",경기,33.9,1
405,효창공원앞,서울,33.8,1
147,역곡,경기,33.7,1
1,가천대,경기,33.6,1
154,오산대,경기,33.2,1
3,갈매,경기,33.2,1
104,성균관대,경기,32.8,1
143,양평,경기,32.8,1
297,매봉,서울,32.7,1
202,탄현,경기,32.4,1
261,까치산,서울,32.0,1
233,"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 학여울, 한티",서울,31.8,1
52,동구릉,경기,31.8,1
236,거여,서울,31.5,1
272,"녹사평, 이태원",서울,31.5,1
279,도림천,서울,31.4,1
369,우장산,서울,31.4,1
213,하남시청,경기,31.4,1
17,광교,경기,31.4,1
377,장승배기,서울,31.2,1
254,구일,서울,31.0,1
285,돌곶이,서울,30.8,1
210,풍무,경기,30.6,1
284,독산,서울,30.4,1
338,신길,서울,30.2,1
134,안산,경기,29.4,1
381,종합운동장,서울,29.2,1
379,장한평,서울,29.2,1
327,석계,서울,29.1,1
235,"개화산, 방화",서울,29.0,1
244,"공항시장, 김포공항, 송정, 신방화",서울,28.8,1
95,상록수,경기,28.8,1
114,"송산, 어룡, 탑석",경기,28.6,1
294,"마포구청, 월드컵경기장",서울,28.2,1
99,서정리,경기,28.0,1
318,상계,서울,27.8,1
333,수락산,서울,27.6,1
75,별내,경기,27.4,1
246,광나루,서울,27.3,1
167,월곶,경기,27.3,1
201,춘의,경기,27.2,1
339,"신내, 양원",서울,27.0,1
274,"답십리, 마장, 신답, 왕십리, 용답",서울,26.8,1
336,숭실대입구,서울,26.6,1
153,오산,경기,26.3,1
397,한남,서울,26.2,1
67,문산,경기,26.0,1
25,군포,경기,25.9,1
162,원당,경기,25.8,1
188,지축,경기,25.6,1
47,덕계,경기,25.4,1
380,정릉,서울,25.4,1
264,남성,서울,25.4,1
46,대화,경기,25.2,1
386,중화,서울,25.2,1
29,금촌,경기,25.0,1
63,매교,경기,24.8,1
292,마들,서울,24.6,1
27,금릉,경기,24.6,1
185,중동,경기,24.0,1
61,망월사,경기,23.8,1
177,전곡,경기,23.6,1
271,녹번,서울,23.4,1
4,강남대,경기,23.4,1
165,원종,경기,23.0,1
299,면목,서울,22.6,1
354,양천구청,서울,22.6,1
6,걸포북변,경기,22.4,1
92,삼송,경기,22.0,1
321,"상월곡, 월곡",서울,21.8,1
225,가좌,서울,21.6,1
76,별내별가람,경기,21.6,1
15,과천,경기,21.2,1
382,중계,서울,21.2,1
340,신대방,서울,21.2,1
166,원흥,경기,21.2,1
212,하남검단산,경기,21.2,1
375,자양,서울,20.8,1
217,행신,경기,20.2,1
59,마산,경기,20.2,1
111,소새울,경기,20.0,1
33,남위례,경기,20.0,1
115,송탄,경기,19.9,1
282,독립문,서울,19.9,1
195,청명,경기,19.6,1
57,둔전,경기,19.6,1
41,당정,경기,19.6,1
337,신금호,서울,19.6,1
214,하남풍산,경기,19.2,1
221,"가락시장, 개롱, 경찰병원, 방이, 오금",서울,19.2,1
86,사리,경기,19.0,1
35,녹양,경기,19.0,1
192,진접,경기,18.9,1
387,증산,서울,18.8,1
151,오목천,경기,18.6,1
312,"봉화산, 화랑대",서울,18.2,1
305,"미아, 삼양, 삼양사거리, 솔샘",서울,18.2,1
302,무악재,서울,17.6,1
101,석수,경기,17.6,1
211,풍산,경기,17.4,1
368,용마산,서울,17.2,1
293,마천,서울,17.0,1
23,구성,경기,16.4,3
60,마석,경기,16.4,3
156,용문,경기,16.4,3
12,고촌,경기,15.8,3
365,옥수,서울,15.4,3
220,"4.19민주묘지, 북한산우이, 솔밭공원",서울,15.3,3
108,세마,경기,15.2,3
126,시흥시청,경기,15.0,3
48,덕소,경기,14.8,3
142,양촌,경기,14.6,3
370,월계,서울,14.6,3
127,신갈,경기,14.6,3
49,덕정,경기,14.6,3
72,백마,경기,14.4,3
391,청계산입구,서울,14.4,3
224,가오리,서울,14.0,3
125,시흥대야,경기,13.4,3
389,천왕,서울,13.2,3
169,의왕,경기,13.1,3
353,양재시민의숲,서울,13.0,3
181,정왕,경기,12.8,3
231,강일,서울,12.7,3
314,불암산,서울,12.6,3
55,동백,경기,12.6,3
107,세류,경기,12.4,3
178,전대·에버랜드,경기,12.4,3
90,삼가,경기,12.2,3
54,동두천중앙,경기,11.8,3
200,초지,경기,11.6,3
203,퇴계원,경기,11.6,3
31,"김량장, 명지대",경기,10.8,3
280,도봉,서울,10.8,3
313,북한산보국문,서울,10.8,3
199,초월,경기,10.4,3
366,온수,서울,10.4,3
281,도봉산,서울,10.4,3
374,일원,서울,10.0,3
105,"성남, 이매, 판교",경기,10.0,3
273,녹천,서울,9.8,3
139,양수,경기,9.5,3
51,도심,경기,9.4,3
385,중앙보훈병원,서울,9.4,3
287,"둔촌오륜, 올림픽공원",서울,9.2,3
209,평택지제,경기,9.2,3
64,매탄권선,경기,8.6,3
148,연천,경기,8.4,3
2,가평,경기,8.2,3
187,지석,경기,8.2,3
122,시우,경기,7.4,3
14,곤지암,경기,7.4,3
164,원시,경기,7.4,3
26,금곡,경기,7.4,3
98,서동탄,경기,7.2,3
78,보산,경기,7.2,3
144,어정,경기,7.2,3
150,오남,경기,7.2,3
11,고진,경기,6.6,3
79,보정,경기,6.2,3
349,암사역사공원,서울,6.0,3
45,대야미,경기,5.4,3
36,능곡,경기,5.2,3
309,복정,서울,5.0,3
85,사릉,경기,5.0,3
170,이천,경기,5.0,3
266,남태령,서울,5.0,3
137,야목,경기,4.5,3
91,삼동,경기,4.4,3
117,수리산,경기,4.4,3
132,신현,경기,4.4,3
7,경기광주,경기,4.2,3
70,반월,경기,4.2,3
9,고색,경기,4.2,3
89,산성,경기,4.2,3
93,상갈,경기,4.2,3
80,보평,경기,4.2,3
193,천마산,경기,3.2,3
128,신둔도예촌,경기,3.2,3
141,양주,경기,3.2,3
396,한강진,서울,3.2,3
175,장암,경기,3.2,3
197,청평,경기,3.2,3
205,팔당,경기,3.2,3
268,노들,서울,3.2,3
168,월롱,경기,2.2,3
283,독바위,서울,2.2,3
16,관악,경기,2.2,3
112,소요산,경기,2.2,3
371,응봉,서울,2.2,3
123,시청·용인대,경기,2.2,3
32,까치울,경기,2.0,3
204,파주,경기,2.0,3
198,초당,경기,2.0,3
8,경마공원,경기,0.0,3
5,강매,경기,0.0,3
146,여주,경기,0.0,3
145,어천,경기,0.0,3
140,양정,경기,0.0,3
325,서빙고,서울,0.0,3
163,원덕,경기,0.0,3
161,운천,경기,0.0,3
158,운길산,경기,0.0,3
155,오이도,경기,0.0,3
173,임진강,경기,0.0,3
196,청산,경기,0.0,3
152,오빈,경기,0.0,3
191,진위,경기,0.0,3
13,곡산,경기,0.0,3
234,개화,서울,0.0,3
252,"구반포, 동작",서울,0.0,3
189,지평,경기,0.0,3
215,한국항공대,경기,0.0,3
96,상천,경기,0.0,3
81,부발,경기,0.0,3
109,세종대왕릉,경기,0.0,3
129,신원,경기,0.0,3
133,아신,경기,0.0,3
102,선바위,경기,0.0,3
84,부천종합운동장,경기,0.0,3
44,대성리,경기,0.0,3
43,대공원,경기,0.0,3
42,대곡,경기,0.0,3
40,달월,경기,0.0,3
39,달미,경기,0.0,3
53,동두천,경기,0.0,3
24,국수,경기,0.0,3
37,능길,경기,0.0,3
