상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
148,"경복궁, 광화문, 명동, 시청, 을지로입구, 종각, 회현",서울,315.9,84.0,3
120,"강남, 신논현",서울,204.4,55.0,3
226,홍대입구,서울,151.1,44.0,1
112,"고속터미널, 반포, 사평, 신반포, 잠원",서울,142.3,35.0,1
92,"마곡, 마곡나루",서울,131.0,40.0,1
74,"교대, 남부터미널, 서초",서울,122.0,39.0,1
118,"공덕, 마포",서울,121.4,38.0,1
141,"문래, 양평, 영등포구청",서울,119.0,40.0,1
132,"서대문, 충정로",서울,116.6,34.0,1
200,서울역,서울,113.6,34.0,1
85,"압구정, 압구정로데오",서울,107.2,29.0,1
109,"봉은사, 삼성, 삼성중앙, 청담",서울,106.7,26.0,1
124,"신용산, 용산",서울,106.5,31.0,1
127,"잠실, 잠실나루",서울,104.9,32.0,1
76,"건대입구, 어린이대공원, 자양",서울,104.5,32.0,1
119,"논현, 신사",서울,104.0,31.0,1
89,"한성대입구, 혜화",서울,103.7,28.0,1
126,"망원, 합정",서울,102.9,32.0,1
139,"신촌, 이대",서울,101.5,29.0,1
45,"마두, 정발산",경기,101.1,30.0,1
150,"을지로3가, 을지로4가, 종로3가, 종로5가, 충무로",서울,99.0,33.0,1
142,"신길, 영등포, 영등포시장",서울,99.0,31.0,1
183,국회의사당,서울,94.2,28.0,1
211,양재,서울,92.2,28.0,1
103,"가산디지털단지, 남구로",서울,91.4,31.0,1
121,"삼전, 석촌고분, 잠실새내, 종합운동장",서울,89.4,27.0,1
102,"구로디지털단지, 대림",서울,89.2,30.0,1
165,안양,경기,87.9,28.0,1
57,"강변, 광나루, 구의",서울,87.4,23.0,1
143,"대방, 샛강, 여의도",서울,86.5,26.0,1
199,서울대입구,서울,85.5,30.0,1
81,"당산, 선유도",서울,82.5,27.0,1
208,안국,서울,82.0,25.0,1
30,"망포, 매교, 매탄권선, 성균관대, 세류, 수원, 수원시청, 영통, 청명, 화서",경기,81.1,26.0,1
149,"동대문, 동묘앞, 신당",서울,80.2,30.0,1
