상권_ID,역명,지역,프리미엄_지수,클러스터
148,"경복궁, 광화문, 명동, 시청, 을지로입구, 종각, 회현",서울,315.9,2
120,"강남, 신논현",서울,204.4,2
226,홍대입구,서울,151.1,3
112,"고속터미널, 반포, 사평, 신반포, 잠원",서울,142.3,3
92,"마곡, 마곡나루",서울,131.0,3
74,"교대, 남부터미널, 서초",서울,122.0,3
118,"공덕, 마포",서울,121.4,3
141,"문래, 양평, 영등포구청",서울,119.0,3
132,"서대문, 충정로",서울,116.6,3
200,서울역,서울,113.6,3
85,"압구정, 압구정로데오",서울,107.2,3
109,"봉은사, 삼성, 삼성중앙, 청담",서울,106.7,3
124,"신용산, 용산",서울,106.5,3
127,"잠실, 잠실나루",서울,104.9,3
76,"건대입구, 어린이대공원, 자양",서울,104.5,3
119,"논현, 신사",서울,104.0,3
89,"한성대입구, 혜화",서울,103.7,3
126,"망원, 합정",서울,102.9,3
139,"신촌, 이대",서울,101.5,3
45,"마두, 정발산",경기,101.1,3
150,"을지로3가, 을지로4가, 종로3가, 종로5가, 충무로",서울,99.0,3
142,"신길, 영등포, 영등포시장",서울,99.0,3
183,국회의사당,서울,94.2,3
211,양재,서울,92.2,3
103,"가산디지털단지, 남구로",서울,91.4,3
121,"삼전, 석촌고분, 잠실새내, 종합운동장",서울,89.4,3
102,"구로디지털단지, 대림",서울,89.2,3
165,안양,경기,87.9,3
57,"강변, 광나루, 구의",서울,87.4,3
143,"대방, 샛강, 여의도",서울,86.5,3
199,서울대입구,서울,85.5,3
81,"당산, 선유도",서울,82.5,3
208,안국,서울,82.0,3
30,"망포, 매교, 매탄권선, 성균관대, 세류, 수원, 수원시청, 영통, 청명, 화서",경기,81.1,3
149,"동대문, 동묘앞, 신당",서울,80.2,3
145,"당곡, 보라매, 보라매공원, 보라매병원, 서울지방병무청, 신대방삼거리, 신림",서울,77.6,3
177,화정,경기,72.9,0
131,"몽촌토성, 송파나루, 한성백제",서울,72.6,0
201,성신여대입구,서울,72.0,0
110,"뚝섬, 서울숲, 성수",서울,71.6,0
83,"가양, 등촌, 증미",서울,71.6,0
43,"금정, 명학, 범계, 인덕원, 평촌",경기,71.6,0
63,"가능, 경전철의정부, 동오, 의정부, 의정부중앙",경기,71.3,0
191,미아사거리,서울,69.0,0
106,"남성, 총신대입구",서울,66.3,0
134,"강동, 길동, 천호",서울,64.2,0
123,"남영, 삼각지, 숙대입구",서울,63.8,0
138,"고려대, 안암",서울,63.6,0
79,"발산, 양천향교, 우장산, 화곡",서울,62.3,0
111,"구로, 도림천, 신도림",서울,60.7,0
