상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
401,홍대입구,서울,173,250,0
329,선릉,서울,165,256,0
291,"마곡, 마곡나루",서울,147,242,0
226,"강남, 논현, 신논현, 신사",서울,163,210,0
242,"공덕, 마포",서울,135,233,0
251,구로디지털단지,서울,85,231,0
241,"고속터미널, 반포, 사평, 신반포, 잠원",서울,168,146,0
249,"교대, 서초",서울,130,182,0
376,"잠실, 잠실나루",서울,116,194,0
222,"가산디지털단지, 남구로",서울,93,213,0
326,서울대입구,서울,88,211,0
237,건대입구,서울,110,189,0
307,발산,서울,118,178,0
362,영등포시장,서울,73,222,0
263,남부터미널,서울,120,175,0
361,영등포,서울,122,173,0
364,오목교,서울,128,159,0
303,"문래, 영등포구청",서울,98,188,0
238,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 시청, 신당, 안국, 약수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울,88,195,0
270,노원,서울,116,166,0
119,수원시청,경기,106,171,0
317,"삼전, 잠실새내",서울,101,171,0
256,국회의사당,서울,120,151,0
400,합정,서울,106,164,0
352,양재,서울,105,164,0
398,"한성대입구, 혜화",서울,129,140,0
135,안양,경기,83,186,0
248,"광흥창, 대흥, 상수, 서강대, 신촌, 이대",서울,135,132,0
230,"강변, 구의",서울,95,164,0
350,압구정,서울,121,137,0
130,신중동,경기,89,168,0
94,상동,경기,90,164,0
278,"대방, 샛강, 여의도",서울,111,141,0
69,미사,경기,74,178,2
179,정발산,경기,101,149,0
332,성신여대입구,서울,69,181,2
393,총신대입구,서울,98,149,0
138,야탑,경기,99,145,0
404,회기,서울,91,152,0
390,천호,서울,70,172,2
290,"뚝섬, 서울숲",서울,64,177,2
328,석촌고분,서울,84,156,2
182,정자,경기,78,162,2
360,연신내,서울,67,171,2
310,"봉은사, 삼성, 삼성중앙, 청담",서울,153,85,0
18,광교중앙,경기,76,161,2
100,서현,경기,103,132,0
223,"가양, 증미",서울,80,154,2
186,중앙,경기,84,150,2
335,"수유, 화계",서울,81,151,2
82,부천,경기,55,176,2
372,응암,서울,60,170,2
296,망원,서울,60,169,2
116,수내,경기,91,135,2
74,범계,경기,89,134,2
304,문정,서울,81,141,2
228,"강동, 길동",서울,85,131,2
83,부천시청,경기,80,134,2
118,수원,경기,113,100,0
306,미아사거리,서울,73,140,2
301,"몽촌토성, 석촌, 송파, 송파나루, 한성백제",서울,72,140,2
71,"발곡, 범골, 회룡",경기,44,166,2
295,"망우, 상봉",서울,63,147,2
22,구리,경기,68,138,2
403,화곡,서울,68,136,2
331,성수,서울,47,156,2
219,화정,경기,80,122,2
38,다산,경기,50,148,2
227,"강남구청, 선정릉",서울,93,103,2
58,마두,경기,80,113,2
275,"당곡, 보라매, 보라매공원, 보라매병원, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림",서울,73,119,2
276,당산,서울,67,121,2
250,구로,서울,67,121,2
343,신설동,서울,55,132,2
88,산본,경기,87,99,2
207,평촌,경기,56,129,2
269,노량진,서울,61,121,2
131,신천,경기,60,122,2
324,"서대문, 아현, 애오개, 충정로",서울,78,104,2
286,둔촌동,서울,46,135,2
232,개봉,서울,39,141,2
194,철산,경기,67,110,2
311,봉천,서울,38,139,2
258,"굽은다리, 명일",서울,60,117,2
394,태릉입구,서울,66,110,2
260,길음,서울,59,117,2
358,"언주, 역삼, 학동",서울,64,111,2
330,선유도,서울,41,134,2
357,어린이대공원,서울,60,112,2
19,광명,경기,70,102,2
240,"고려대, 안암",서울,73,96,2
392,청량리,서울,54,115,2
21,구래,경기,49,120,2
320,"상왕십리, 행당",서울,57,112,2
378,장지,서울,65,104,2
113,송내,경기,47,121,2
346,쌍문,서울,46,121,2
344,"신이문, 외대앞",서울,40,127,2
56,"동천, 오리",경기,59,107,2
243,공릉,서울,50,116,2
323,새절,서울,33,132,2
28,금정,경기,48,117,2
277,대림,서울,37,127,2
395,하계,서울,32,131,2
388,창동,서울,44,119,2
355,양천향교,서울,49,112,2
77,병점,경기,35,125,2
149,영통,경기,54,105,2
20,광명사거리,경기,39,118,2
356,양평,서울,39,118,2
267,"내방, 방배",서울,53,104,2
288,등촌,서울,49,107,2
34,"남한산성입구, 단대오거리",경기,38,118,2
103,선부,경기,55,100,2
253,"구산, 불광, 역촌",서울,53,100,2
