상권_ID,역명,지역,프리미엄_지수,클러스터
401,홍대입구,서울,173,2
241,"고속터미널, 반포, 사평, 신반포, 잠원",서울,168,2
329,선릉,서울,165,2
226,"강남, 논현, 신논현, 신사",서울,163,2
310,"봉은사, 삼성, 삼성중앙, 청담",서울,153,2
291,"마곡, 마곡나루",서울,147,2
248,"광흥창, 대흥, 상수, 서강대, 신촌, 이대",서울,135,2
242,"공덕, 마포",서울,135,2
249,"교대, 서초",서울,130,2
398,"한성대입구, 혜화",서울,129,2
364,오목교,서울,128,2
361,영등포,서울,122,2
350,압구정,서울,121,2
256,국회의사당,서울,120,2
263,남부터미널,서울,120,2
307,발산,서울,118,2
376,"잠실, 잠실나루",서울,116,2
270,노원,서울,116,2
118,수원,경기,113,2
278,"대방, 샛강, 여의도",서울,111,2
237,건대입구,서울,110,2
400,합정,서울,106,2
119,수원시청,경기,106,2
352,양재,서울,105,2
100,서현,경기,103,2
317,"삼전, 잠실새내",서울,101,2
179,정발산,경기,101,2
138,야탑,경기,99,2
303,"문래, 영등포구청",서울,98,2
393,총신대입구,서울,98,2
230,"강변, 구의",서울,95,1
222,"가산디지털단지, 남구로",서울,93,1
227,"강남구청, 선정릉",서울,93,1
404,회기,서울,91,1
116,수내,경기,91,1
94,상동,경기,90,1
74,범계,경기,89,1
130,신중동,경기,89,1
351,압구정로데오,서울,89,1
238,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 시청, 신당, 안국, 약수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울,88,1
326,서울대입구,서울,88,1
88,산본,경기,87,1
251,구로디지털단지,서울,85,1
228,"강동, 길동",서울,85,1
186,중앙,경기,84,1
328,석촌고분,서울,84,1
135,안양,경기,83,1
335,"수유, 화계",서울,81,1
304,문정,서울,81,1
58,마두,경기,80,1
223,"가양, 증미",서울,80,1
219,화정,경기,80,1
83,부천시청,경기,80,1
182,정자,경기,78,1
324,"서대문, 아현, 애오개, 충정로",서울,78,1
18,광교중앙,경기,76,1
69,미사,경기,74,1
